City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
217,Padang,ID,-0.9492,100.3543,77.72,82,89,3.78,overcast clouds,2021-06-06 14:32:33
218,Cayenne,GF,4.9333,-52.3333,86.04,81,75,4.0,broken clouds,2021-06-06 14:30:06
219,Leningradskiy,RU,69.3833,178.4167,32.13,93,99,11.41,overcast clouds,2021-06-06 14:32:34
220,Poronaysk,RU,49.2167,143.1167,48.16,83,80,5.5,broken clouds,2021-06-06 14:32:34
221,Cairo,EG,30.0626,31.2497,88.56,34,0,18.57,clear sky,2021-06-06 14:30:41
222,Krasnoselkup,RU,65.7,82.4667,41.23,65,97,11.88,overcast clouds,2021-06-06 14:32:35
223,Yerky,UA,48.9906,30.9882,63.52,75,100,8.88,overcast clouds,2021-06-06 14:32:35
224,Ilhabela,BR,-23.7781,-45.3581,82.42,49,100,2.17,overcast clouds,2021-06-06 14:32:35
225,Soligalich,RU,59.0778,42.2864,76.06,45,12,2.84,few clouds,2021-06-06 14:32:36
226,Chuy,UY,-33.6971,-53.4616,57.4,68,100,6.26,overcast clouds,2021-06-06 14:32:36
227,Stornoway,GB,58.2093,-6.3865,58.96,63,75,18.41,broken clouds,2021-06-06 14:32:36
228,Louga,RU,58.7372,29.8453,71.55,51,88,6.22,overcast clouds,2021-06-06 14:31:19
229,Shelburne,CA,44.0787,-80.2041,80.56,45,100,14.43,overcast clouds,2021-06-06 14:30:15
230,Bethel,US,41.3712,-73.414,88.88,59,1,5.75,clear sky,2021-06-06 14:32:37
231,Sorland,NO,67.667,12.6934,69.87,67,0,13.8,clear sky,2021-06-06 14:32:37
232,Erzin,TR,36.9559,36.2,88.32,45,0,10.02,clear sky,2021-06-06 14:32:37
233,Murrhardt,DE,48.9819,9.5705,66.2,94,100,3.49,light rain,2021-06-06 14:32:38
234,Yenangyaung,MM,20.4667,94.8833,83.19,63,100,5.35,light rain,2021-06-06 14:32:38
235,Gien,FR,47.6933,2.6309,71.78,63,91,9.82,overcast clouds,2021-06-06 14:32:39
236,Gizo,SB,-8.103,156.8419,81.79,80,26,12.24,light rain,2021-06-06 14:32:39
237,Touros,BR,-5.1989,-35.4608,83.3,66,43,15.21,scattered clouds,2021-06-06 14:32:39
